,dataset,circuit_id,layer,num_params,dataset,"('accuracy', 'mean')","('accuracy', 'median')","('accuracy', 'std')","('entcap', 'mean')","('expr', 'mean')","('last_cost_avg', 'mean')","('last_cost_avg', 'median')","('last_cost_avg', 'std')","('num_iter', 'mean')","('num_iter', 'median')","('num_iter', 'std')"
0,0.0,1.0,1.0,10.0,0.0,0.94140625,0.96875,0.0513150175561279,1.9154310836370983e-32,0.3588376771800118,0.1383509635925293,0.14294052124023438,0.02681929466817566,94.125,85.5,33.59607757717303
1,0.0,1.0,2.0,20.0,0.0,0.953125,0.96875,0.023622779563076707,6.299734155172604e-32,0.2850028545937518,0.13663911819458008,0.13802719116210938,0.023096409123890913,76.375,72.5,27.77428152600377
2,0.0,1.0,3.0,30.0,0.0,0.9453125,0.953125,0.032346823094172854,1.1207084474532626e-31,0.25912300795940263,0.1287374496459961,0.12451362609863281,0.014801461735840016,75.0,69.5,14.947527268032374
3,0.0,1.0,4.0,40.0,0.0,0.9296875,0.9375,0.03640514828191987,1.618543441653015e-31,0.2488595800337194,0.12860822677612305,0.12380599975585938,0.017349088883280146,71.75,71.5,20.4712341731374
4,0.0,1.0,5.0,50.0,0.0,0.9375,0.953125,0.044194173824159216,2.142028295469013e-31,0.2505103372125487,0.11496639251708984,0.11433219909667969,0.0060471657448139815,75.25,78.5,20.830952244882408
5,0.0,1.0,6.0,60.0,0.0,0.90625,0.90625,0.033407655239053057,2.641002249773218e-31,0.2500562469444191,0.12442636489868164,0.11915779113769531,0.014911452452980924,86.0,77.5,33.568692897656035
6,0.0,1.0,7.0,70.0,0.0,0.90625,0.90625,0.02362277956307668,3.1428734283268834e-31,0.27498760387788074,0.11633682250976562,0.11486434936523438,0.009750473879810902,69.5,68.0,21.0780861153406
7,0.0,1.0,8.0,80.0,0.0,0.9296875,0.9375,0.032346823094172854,3.6570651791677525e-31,0.24719744701541274,0.12592172622680664,0.1231842041015625,0.011968624319071955,62.375,62.0,18.806818672264285
8,0.0,2.0,1.0,10.0,0.0,0.94140625,0.953125,0.04852023464125928,0.6813345448198691,0.38058793190606677,0.14383602142333984,0.14662551879882812,0.04095168733605646,77.125,62.5,31.018139853962875
9,0.0,2.0,2.0,20.0,0.0,0.94921875,0.96875,0.049937181520529214,0.7529174582115091,0.04481502224466796,0.12124013900756836,0.12193107604980469,0.02605490844054143,97.25,82.0,46.3919635897672
10,0.0,2.0,3.0,30.0,0.0,0.92578125,0.96875,0.08669511824079668,0.8473807893010603,0.015305907194591526,0.10204267501831055,0.10198402404785156,0.010029484568406905,112.875,106.0,34.415268621437704
11,0.0,2.0,4.0,40.0,0.0,0.95703125,0.96875,0.023250744035713918,0.8726154517924303,0.009529129657150467,0.1095743179321289,0.10270118713378906,0.024080491438665735,86.25,71.5,36.074328030569646
12,0.0,2.0,5.0,50.0,0.0,0.93359375,0.953125,0.0513150175561279,0.8925438561089734,0.010305828602503692,0.11364078521728516,0.11037445068359375,0.021512294769947756,80.25,84.5,22.448353423549165
13,0.0,2.0,6.0,60.0,0.0,0.93359375,0.953125,0.0677226404298128,0.9008267071820972,0.010687709155727724,0.10355329513549805,0.10265731811523438,0.010737383111309576,78.0,77.0,20.191936155660898
14,0.0,2.0,7.0,70.0,0.0,0.91796875,0.921875,0.03314563036811942,0.9058181143881091,0.010474736557783875,0.11010169982910156,0.10941314697265625,0.00906673283180131,84.375,85.0,13.55346555576944
15,0.0,2.0,8.0,80.0,0.0,0.88671875,0.921875,0.12038060456467704,0.9077507585131601,0.010284319975327992,0.11167430877685547,0.11421012878417969,0.012937045540103507,73.5,65.5,29.861585452120348
16,0.0,3.0,1.0,14.0,0.0,0.8984375,0.9375,0.0847626676162836,0.18230214763035382,0.31145279607612897,0.14468717575073242,0.1466503143310547,0.023298268418277823,80.125,84.0,15.431299362010966
17,0.0,3.0,2.0,28.0,0.0,0.94140625,0.9375,0.026078842512383762,0.3505969021188801,0.14128114080671744,0.12706708908081055,0.12786293029785156,0.017319069653988994,85.25,73.5,37.59464247545311
18,0.0,3.0,3.0,42.0,0.0,0.921875,0.921875,0.040915854419248554,0.46613596216196374,0.07742135866139649,0.09932613372802734,0.09746742248535156,0.014530816854957029,98.25,88.0,29.17312853588776
19,0.0,3.0,4.0,56.0,0.0,0.9453125,0.96875,0.04941058844013093,0.5430829059851536,0.056172716150834745,0.10877323150634766,0.10526275634765625,0.026859638487222965,83.25,76.0,35.22478834976463
20,0.0,3.0,5.0,70.0,0.0,0.94921875,0.96875,0.03314563036811939,0.6001435152416321,0.04449237755010432,0.10991430282592773,0.10744476318359375,0.02289926523492018,109.0,106.0,48.05651434955069
21,0.0,3.0,6.0,84.0,0.0,0.93359375,0.953125,0.04852023464125928,0.64292165640668,0.027099974998249725,0.10505819320678711,0.10487556457519531,0.014408421984699585,107.625,99.0,33.02353057182971
22,0.0,3.0,7.0,98.0,0.0,0.90234375,0.90625,0.07551441885730925,0.6778990013868207,0.02610800525854994,0.09621286392211914,0.09710502624511719,0.010962240352300869,96.625,89.0,41.6342492941294
23,0.0,3.0,8.0,112.0,0.0,0.953125,0.96875,0.0236227795630767,0.7075746458490569,0.016228880034247346,0.1091299057006836,0.10451316833496094,0.023108727683972177,94.25,89.0,43.54226190069335
24,0.0,4.0,1.0,14.0,0.0,0.91796875,0.9375,0.06455872707133738,0.3364831053622226,0.1879908972045399,0.14060258865356445,0.1444091796875,0.03590670915493841,82.375,83.0,34.5994942159564
25,0.0,4.0,2.0,28.0,0.0,0.953125,0.96875,0.023622779563076707,0.4973578877692445,0.06958944487493388,0.11481142044067383,0.10452079772949219,0.034110979584083934,98.75,88.5,41.97873611382656
26,0.0,4.0,3.0,42.0,0.0,0.95703125,0.96875,0.023250744035713904,0.5994523780111353,0.03389633851645932,0.10120868682861328,0.09254837036132812,0.023222972023528736,92.375,86.5,27.160567530363362
27,0.0,4.0,4.0,56.0,0.0,0.93359375,0.9375,0.035187238326862595,0.6642684766268433,0.023148357420279556,0.10229921340942383,0.09991264343261719,0.018278033299435215,93.875,91.0,36.34531803213645
28,0.0,4.0,5.0,70.0,0.0,0.94921875,0.96875,0.02862891816602824,0.7143783743206094,0.01700394545916602,0.10004377365112305,0.09587287902832031,0.013545704224468092,82.875,85.0,17.650880188494042
29,0.0,4.0,6.0,84.0,0.0,0.9375,0.953125,0.03735089404169982,0.7519654082637983,0.011563313079240915,0.10036849975585938,0.09912872314453125,0.010607352948420768,87.375,74.0,33.94507117598749
30,0.0,4.0,7.0,98.0,0.0,0.93359375,0.953125,0.06346905003621843,0.7799966805669896,0.009993727853171023,0.10715866088867188,0.10669136047363281,0.030488061936192672,90.25,75.5,48.43773617453943
31,0.0,4.0,8.0,112.0,0.0,0.890625,0.90625,0.08183170883849714,0.8037735137029665,0.010780630177712917,0.10791635513305664,0.1087646484375,0.017663711843508543,89.25,97.0,25.279862115356337
32,0.0,5.0,1.0,40.0,0.0,0.9609375,0.96875,0.014465939058946104,0.3404151380468718,0.07052009755409636,0.11017465591430664,0.11277580261230469,0.02767290467853209,107.125,107.0,21.616379371737004
33,0.0,5.0,2.0,80.0,0.0,0.9453125,0.953125,0.03640514828191985,0.6563840110828707,0.014349747063947208,0.11250448226928711,0.11076164245605469,0.015218623968564092,85.0,74.5,30.467781578016382
34,0.0,5.0,3.0,120.0,0.0,0.90234375,0.921875,0.06346905003621846,0.798636919748701,0.009080139680468873,0.11195659637451172,0.11236953735351562,0.01923553562156307,75.625,80.0,22.563798439092654
35,0.0,5.0,4.0,160.0,0.0,0.921875,0.953125,0.08995286464111557,0.8596752583597245,0.007050800043535065,0.11609506607055664,0.1074676513671875,0.02268503744467248,72.25,73.0,25.437598718657163
36,0.0,5.0,5.0,200.0,0.0,0.91015625,0.9375,0.08424676101234652,0.8870913889825927,0.0081162308041782,0.10542726516723633,0.10976791381835938,0.014583885557527954,98.125,89.0,37.87738677062382
37,0.0,5.0,6.0,240.0,0.0,0.87890625,0.953125,0.1401903003509872,0.8989818880250593,0.009046415821531154,0.1257014274597168,0.12814712524414062,0.021829621250061142,78.625,68.0,30.10428303651919
38,0.0,5.0,7.0,280.0,0.0,0.8828125,0.921875,0.11048543456039807,0.9045473334106207,0.00882532572800354,0.12685346603393555,0.13442420959472656,0.01828369356334382,77.125,66.0,28.417487070966914
39,0.0,5.0,8.0,320.0,0.0,0.7734375,0.875,0.21634519993684698,0.9073751517055992,0.00852432763387505,0.1338200569152832,0.13475418090820312,0.00789495614771133,83.625,82.5,23.457788837459876
40,0.0,6.0,1.0,40.0,0.0,0.94140625,0.9375,0.030969725280159836,0.7901803000832772,0.011023830440130406,0.10721206665039062,0.10001564025878906,0.01985754942409808,83.875,78.0,35.73488691541003
41,0.0,6.0,2.0,80.0,0.0,0.953125,0.96875,0.023622779563076707,0.896080586723042,0.007943031984234263,0.09784841537475586,0.09649276733398438,0.013227435117962384,104.875,99.5,34.369577494389674
42,0.0,6.0,3.0,120.0,0.0,0.92578125,0.96875,0.08172508767420895,0.9080856660070223,0.00977676690312487,0.12296438217163086,0.12154197692871094,0.023970547113690253,74.5,56.0,49.27184069744387
43,0.0,6.0,4.0,160.0,0.0,0.8046875,0.953125,0.2526367645878734,0.9088117377611699,0.007321611006316531,0.12119865417480469,0.11686515808105469,0.019187655307497133,65.625,61.5,15.361710284247092
44,0.0,6.0,5.0,200.0,0.0,0.91796875,0.953125,0.08341467384399463,0.9092411935180833,0.008085727120648447,0.11730146408081055,0.12074470520019531,0.013007765836316333,97.625,91.5,27.302210794837006
45,0.0,6.0,6.0,240.0,0.0,0.7890625,0.8125,0.15010227168262882,0.9092172319249605,0.007236467765118727,0.1312723159790039,0.12890052795410156,0.016817603896725535,80.0,77.0,21.199730456507496
46,0.0,6.0,7.0,280.0,0.0,0.85546875,0.90625,0.1502764379818074,0.9084782226900922,0.009271245993658129,0.12952709197998047,0.12939453125,0.020794976813631138,85.875,99.5,24.02045259476063
47,0.0,6.0,8.0,320.0,0.0,0.88671875,0.90625,0.08341467384399465,0.9095063980232722,0.007826622684183385,0.1225728988647461,0.11273956298828125,0.02139547504837576,119.625,96.0,58.76086525668496
48,0.0,7.0,1.0,24.0,0.0,0.94140625,0.953125,0.030969725280159843,0.24460888814283538,0.17375696570236765,0.12793636322021484,0.12271690368652344,0.016591284874127143,87.75,80.5,27.577164466275352
49,0.0,7.0,2.0,48.0,0.0,0.92578125,0.9375,0.04706064429086611,0.43582231281283923,0.07671873477687786,0.11198186874389648,0.11266326904296875,0.021514881653623502,89.125,92.0,24.993927834004573
50,0.0,7.0,3.0,72.0,0.0,0.94921875,0.953125,0.023250744035713908,0.5446069440313124,0.046059055158523175,0.10793399810791016,0.10233688354492188,0.01947005562155571,86.375,69.0,34.309255311067304
51,0.0,7.0,4.0,96.0,0.0,0.96484375,0.96875,0.011048543456039804,0.6160017856051165,0.02761409576837677,0.09966611862182617,0.10163307189941406,0.010996892640233425,84.625,89.0,26.0051505887364
52,0.0,7.0,5.0,120.0,0.0,0.89453125,0.90625,0.07269044414256152,0.668156417518106,0.024478546669809993,0.10306358337402344,0.10335731506347656,0.011905047404371677,84.0,79.0,20.94891746265527
53,0.0,7.0,6.0,144.0,0.0,0.86328125,0.90625,0.12038060456467703,0.707457006935639,0.015384482577893668,0.11346054077148438,0.10668182373046875,0.02656649414692256,90.875,99.5,25.70401580631767
54,0.0,7.0,7.0,168.0,0.0,0.875,0.875,0.08183170883849715,0.7414413252148585,0.010444067812910794,0.11024951934814453,0.10624885559082031,0.017261331372188164,83.5,67.0,34.36360200644197
55,0.0,7.0,8.0,192.0,0.0,0.90625,0.9375,0.0867956343536767,0.7661514351111995,0.014412256318952054,0.11134576797485352,0.11152076721191406,0.02103827907703744,81.125,73.0,23.098778570058016
56,0.0,8.0,1.0,24.0,0.0,0.89453125,0.890625,0.04399643603666747,0.3191689418752483,0.13165028990635472,0.11164665222167969,0.10307502746582031,0.022536306715535234,111.75,92.0,54.444598315299245
57,0.0,8.0,2.0,48.0,0.0,0.94140625,0.9375,0.030969725280159836,0.4984144120366121,0.05301508468270242,0.10825490951538086,0.10229873657226562,0.027852375136383237,76.75,70.0,23.29776200165403
58,0.0,8.0,3.0,72.0,0.0,0.921875,0.90625,0.04419417382415923,0.6024972354798067,0.03081103001230125,0.11403512954711914,0.11064529418945312,0.024894130306082396,89.75,78.0,38.57738049316316
59,0.0,8.0,4.0,96.0,0.0,0.88671875,0.9375,0.10556171498058782,0.6704404856300814,0.0189056248541986,0.1033029556274414,0.10295295715332031,0.005806065822289936,79.125,72.0,27.157937540037377
60,0.0,8.0,5.0,120.0,0.0,0.9140625,0.90625,0.032346823094172854,0.7195895013189579,0.01622411957833953,0.11607503890991211,0.11291694641113281,0.029753728436076942,86.375,79.0,37.4392364848888
61,0.0,8.0,6.0,144.0,0.0,0.8828125,0.875,0.0641522672464282,0.7592385905254398,0.011871179358305547,0.1160593032836914,0.11757087707519531,0.01515098085419548,77.875,65.0,31.261283677143794
62,0.0,8.0,7.0,168.0,0.0,0.83984375,0.90625,0.23231985868855773,0.7867176052502158,0.010778582143608606,0.11612272262573242,0.11355400085449219,0.013407063742750726,75.375,71.0,18.768800098643947
63,0.0,8.0,8.0,192.0,0.0,0.8828125,0.921875,0.10663009743300167,0.8122497062203825,0.00940729149274285,0.11855220794677734,0.12355422973632812,0.011696662294223135,99.375,87.5,35.94415311086273
64,0.0,9.0,1.0,5.0,0.0,0.953125,0.96875,0.023622779563076707,0.9999999999999999,0.8922983483286728,0.13964509963989258,0.13854026794433594,0.0043721054646235,54.125,54.0,10.722972668861134
65,0.0,9.0,2.0,10.0,0.0,0.96875,0.96875,0.0,0.9999999999999998,0.13428135253658632,0.12644338607788086,0.12357711791992188,0.005764549411495361,62.625,60.0,22.58910925961573
66,0.0,9.0,3.0,15.0,0.0,0.95703125,0.96875,0.033145630368119405,0.9999999999999996,0.03321199041696135,0.11684417724609375,0.11075592041015625,0.013311818088348961,88.5,73.0,47.928518203078816
67,0.0,9.0,4.0,20.0,0.0,0.96484375,0.96875,0.011048543456039804,0.9827629876407593,0.009673678566610324,0.10418415069580078,0.10072517395019531,0.016871545024917133,94.75,94.5,33.80088756231114
68,0.0,9.0,5.0,25.0,0.0,0.96875,0.96875,0.0,0.8543772538819527,0.007738776138437353,0.10117340087890625,0.10007095336914062,0.013107157537848262,95.625,97.0,20.17025745285086
69,0.0,9.0,6.0,30.0,0.0,0.921875,0.953125,0.060226506978714456,0.8633979350693866,0.009156883694748874,0.1073617935180664,0.10661506652832031,0.007237417233866874,73.5,70.0,14.92840054584358
70,0.0,9.0,7.0,35.0,0.0,0.95703125,0.96875,0.016173411547086437,0.9059858156671571,0.009439370054743858,0.09935235977172852,0.10266494750976562,0.011496472136688437,116.0,116.0,42.13244423413929
71,0.0,9.0,8.0,40.0,0.0,0.94921875,0.96875,0.043996436036667454,0.9097794290961982,0.008611499533964555,0.09897232055664062,0.09624671936035156,0.01405983211976602,101.0,91.0,37.610788725729066
72,0.0,10.0,1.0,10.0,0.0,0.94140625,0.96875,0.04555431167847891,0.37317662390107975,0.2746463962523163,0.11949300765991211,0.10369300842285156,0.04710115136536304,123.25,116.5,34.26681026466114
73,0.0,10.0,2.0,15.0,0.0,0.9609375,0.96875,0.014465939058946123,0.5728603191760985,0.16008184024874342,0.11964654922485352,0.10949325561523438,0.027456674183569445,99.75,86.0,37.57563800427841
74,0.0,10.0,3.0,20.0,0.0,0.94921875,0.953125,0.023250744035713904,0.6900442426558233,0.13948046711923498,0.11772918701171875,0.1108856201171875,0.023165665491569037,93.0,87.0,29.081167199998795
