v,m,t
"[5.33858328e-07 1.43645994e-03 1.19141405e-03 1.38370852e-04
 1.09504813e-04 2.15127162e-03 1.74622524e-05 3.15942084e-04
 1.02778015e-02 1.26388950e-05 6.26746356e-05 2.61784362e-03
 9.34270166e-04 1.92859156e-03 7.17968104e-03 3.48435920e-04
 1.07705764e-04 1.50950630e-03 8.96001605e-04 7.47142212e-04
 5.92622648e-04 3.99907186e-04 3.15460933e-03 3.02395835e-05
 1.29560887e-03 3.36207670e-03 4.46955444e-03 8.24011577e-05
 2.03194195e-03 4.89324251e-03]","[-0.0013934   0.0659871  -0.05887892  0.02188733  0.01626815  0.08291516
 -0.00611878  0.03174611  0.17894679 -0.00752036 -0.01586938  0.09448177
 -0.05404861  0.07631701  0.15071583  0.03144613  0.02134563  0.07080638
  0.05547508 -0.04743841 -0.04175612  0.03856467 -0.1016246   0.01029541
 -0.06565098 -0.10227715  0.11707756 -0.01373608  0.08158473  0.12475892]",28
"[5.49392457e-07 1.45826730e-03 1.20658321e-03 1.41834696e-04
 1.09901006e-04 2.19153905e-03 1.74742206e-05 3.21775063e-04
 1.04530410e-02 1.33079914e-05 6.51618017e-05 2.67926253e-03
 9.50297235e-04 1.95736336e-03 7.30939890e-03 3.52260222e-04
 1.12779670e-04 1.54207698e-03 9.17539289e-04 7.58182971e-04
 6.00463999e-04 4.12537760e-04 3.21878675e-03 3.10321756e-05
 1.32378185e-03 3.41886575e-03 4.54112559e-03 8.25556689e-05
 2.07402862e-03 4.98404872e-03]","[-0.00139853  0.0654027  -0.05819519  0.02190032  0.0158625   0.08248368
 -0.00593886  0.03157023  0.17772597 -0.00766022 -0.01604707  0.09439294
 -0.05368059  0.07561767  0.14983983  0.03100497  0.02169118  0.07062978
  0.05545004 -0.04699715 -0.04129097  0.03878615 -0.10124598  0.01031228
 -0.06549908 -0.10155785  0.1161525  -0.01335168  0.08132601  0.12410414]",29
"[5.64630459e-07 1.47860210e-03 1.22046368e-03 1.45206705e-04
 1.10164305e-04 2.22981293e-03 1.74692668e-05 3.27305444e-04
 1.06183739e-02 1.39817228e-05 6.76432220e-05 2.73857826e-03
 9.65408715e-04 1.98412900e-03 7.43236632e-03 3.55676680e-04
 1.17904835e-04 1.57339015e-03 9.38381376e-04 7.68448340e-04
 6.07656711e-04 4.25004225e-04 3.28012729e-03 3.18073158e-05
 1.35089358e-03 3.47236396e-03 4.60827417e-03 8.26152614e-05
 2.11443560e-03 5.07044192e-03]","[-0.00140267  0.06477153 -0.05746942  0.02189897  0.01544343  0.08199348
 -0.00575703  0.03137093  0.17638089 -0.00779243 -0.0162124   0.0942331
 -0.05327382  0.0748632   0.14885804  0.03053868  0.02202265  0.07040303
  0.05538386 -0.04652203 -0.04079469  0.03898084 -0.10079239  0.01032291
 -0.0653013  -0.10076619  0.11514667 -0.01295733  0.08101308  0.12336565]",30
"[5.79572694e-07 1.49751459e-03 1.23310598e-03 1.48488489e-04
 1.10303418e-04 2.26614415e-03 1.74489072e-05 3.32540582e-04
 1.07740958e-02 1.46591108e-05 7.01165915e-05 2.79581003e-03
 9.79631353e-04 2.00895590e-03 7.54876444e-03 3.58702355e-04
 1.23077245e-04 1.60346788e-03 9.58534699e-04 7.77965124e-04
 6.14224886e-04 4.37302367e-04 3.33868591e-03 3.25654389e-05
 1.37696326e-03 3.52266946e-03 4.67114565e-03 8.25871696e-05
 2.15320235e-03 5.15254570e-03]","[-0.00140589  0.06409942 -0.05670715  0.02188482  0.01501298  0.08145112
 -0.00557418  0.03115072  0.1749263  -0.00791718 -0.01636593  0.09400857
 -0.05283282  0.07406031  0.14778244  0.03005044  0.0223406   0.07013115
  0.05528028 -0.04601727 -0.04027117  0.03915071 -0.10027139  0.01032802
 -0.06506232 -0.09991069  0.11407012 -0.01255494  0.080652    0.12255332]",31
"[5.94220345e-07 1.51505405e-03 1.24455931e-03 1.51681691e-04
 1.10326755e-04 2.30058308e-03 1.74145549e-05 3.37487788e-04
 1.09204971e-02 1.53392143e-05 7.25796457e-05 2.85097803e-03
 9.92991534e-04 2.03191017e-03 7.65877164e-03 3.61353978e-04
 1.28292864e-04 1.63233218e-03 9.78006485e-04 7.86759574e-04
 6.20192139e-04 4.49428110e-04 3.39451772e-03 3.33069897e-05
 1.40201009e-03 3.56987874e-03 4.72988255e-03 8.24783092e-05
 2.19036783e-03 5.23048143e-03]","[-0.00140828  0.06339164 -0.05591336  0.02185922  0.01457299  0.08086248
 -0.00539111  0.03091186  0.17337551 -0.00803469 -0.01650816  0.09372507
 -0.05236166  0.07321506  0.14662385  0.02954312  0.02264551  0.06981871
  0.05514272 -0.04548667 -0.03972392  0.0392975  -0.09968982  0.01032827
 -0.06478637 -0.09899905  0.11293191 -0.01214621  0.08024823  0.12167609]",32
"[6.08575407e-07 1.53126872e-03 1.25487164e-03 1.54787977e-04
 1.10242434e-04 2.33317951e-03 1.73675249e-05 3.42154316e-04
 1.10578625e-02 1.60211318e-05 7.50301656e-05 2.90410336e-03
 1.00551526e-03 2.05305660e-03 7.76256348e-03 3.63647934e-04
 1.33547639e-04 1.66000502e-03 9.96804333e-04 7.94857382e-04
 6.25581594e-04 4.61377519e-04 3.44767798e-03 3.40324211e-05
 1.42605326e-03 3.61408671e-03 4.78462437e-03 8.22952819e-05
 2.22597044e-03 5.30436826e-03]","[-0.00140992  0.06265294 -0.05509255  0.02182344  0.01412512  0.08023293
 -0.00520853  0.03065642  0.17174052 -0.00814517 -0.01663957  0.09338777
 -0.05186402  0.07233293  0.14539201  0.02901934  0.02293785  0.0694698
  0.05497428 -0.04493368 -0.03915614  0.03942283 -0.09905386  0.01032428
 -0.06447728 -0.0980382   0.11174024 -0.01173269  0.0798067   0.12074199]",33
"[6.22640686e-07 1.54620582e-03 1.26408963e-03 1.57809041e-04
 1.10058278e-04 2.36398267e-03 1.73090387e-05 3.46547359e-04
 1.11864713e-02 1.67040031e-05 7.74659823e-05 2.95520800e-03
 1.01722812e-03 2.07245863e-03 7.86031267e-03 3.65600253e-04
 1.38837514e-04 1.68650828e-03 1.01493618e-03 8.02283672e-04
 6.30415870e-04 4.73146802e-04 3.49822200e-03 3.47421919e-05
 1.44911194e-03 3.65538658e-03 4.83550760e-03 8.20443801e-05
 2.26004804e-03 5.37432310e-03]","[-0.00141088  0.06188763 -0.05424878  0.02177861  0.01367087  0.07956728
 -0.00502707  0.03038623  0.17003215 -0.00824885 -0.01676058  0.09300141
 -0.05134324  0.07141886  0.14409573  0.02848147  0.02321804  0.06908813
  0.05477778 -0.04436139 -0.03857071  0.03952815 -0.09836915  0.01031659
 -0.0641385  -0.09703442  0.11050249 -0.01131576  0.07933184  0.11975826]",34
"[6.36419781e-07 1.55991155e-03 1.27225868e-03 1.60746589e-04
 1.09781821e-04 2.39304115e-03 1.72402289e-05 3.50674045e-04
 1.13065974e-02 1.73870103e-05 7.98849818e-05 3.00431481e-03
 1.02815531e-03 2.09017838e-03 7.95218903e-03 3.67226602e-04
 1.44158432e-04 1.71186374e-03 1.03241031e-03 8.09062998e-04
 6.34717078e-04 4.84732316e-04 3.54620509e-03 3.54367658e-05
 1.47120529e-03 3.69386985e-03 4.88266568e-03 8.17315926e-05
 2.29263792e-03 5.44046059e-03]","[-0.00141123  0.06109958 -0.05338569  0.02172575  0.01321159  0.07886991
 -0.00484729  0.030103    0.16826018 -0.00834595 -0.0168716   0.09257025
 -0.05080233  0.07047732  0.14274293  0.02793166  0.02348647  0.06867705
  0.05455581 -0.04377261 -0.03797022  0.03961476 -0.09764076  0.01030572
 -0.06377316 -0.09599338  0.10922532 -0.01089668  0.07882768  0.11873144]",35
"[6.49917072e-07 1.57243102e-03 1.27942295e-03 1.63602342e-04
 1.09420312e-04 2.42040291e-03 1.71621441e-05 3.54541432e-04
 1.14185088e-02 1.80693793e-05 8.22851091e-05 3.05144743e-03
 1.03832159e-03 2.10627657e-03 8.03835945e-03 3.68542271e-04
 1.49506351e-04 1.73609309e-03 1.04923527e-03 8.15219337e-04
 6.38506813e-04 4.96130568e-04 3.59168253e-03 3.61166093e-05
 1.49235238e-03 3.72962632e-03 4.92622898e-03 8.13626101e-05
 2.32377677e-03 5.50289307e-03]","[-0.00141104  0.06029232 -0.05250659  0.02166581  0.01274852  0.07814478
 -0.00466967  0.02980823  0.16643341 -0.00843668 -0.01697301  0.0920982
 -0.05024403  0.06951235  0.14134079  0.02737187  0.02374349  0.06823958
  0.05431071 -0.04316986 -0.03735705  0.03968387 -0.09687333  0.01029211
 -0.06338409 -0.09492019  0.10791476 -0.01047659  0.07829782  0.11766742]",36
"[6.63137702e-07 1.58380833e-03 1.28562534e-03 1.66378028e-04
 1.08980715e-04 2.44611526e-03 1.70757531e-05 3.58156504e-04
 1.15224682e-02 1.87503801e-05 8.46643715e-05 3.09663030e-03
 1.04775125e-03 2.12081259e-03 8.11898791e-03 3.69562175e-04
 1.54877242e-04 1.75921790e-03 1.06541990e-03 8.20776090e-04
 6.41806149e-04 5.07338218e-04 3.63470950e-03 3.67821905e-05
 1.51257226e-03 3.76274401e-03 4.96632479e-03 8.09428315e-05
 2.35350072e-03 5.56173061e-03]","[-0.00141036  0.05946901 -0.05161444  0.02159963  0.01228274  0.07739545
 -0.00449465  0.02950332  0.16455979 -0.00852129 -0.01706516  0.0915888
 -0.04967079  0.06852759  0.13989576  0.02680386  0.02398944  0.06777847
  0.05404461 -0.04255544 -0.03673332  0.03973654 -0.09607102  0.01027618
 -0.06297387 -0.09381947  0.10657622 -0.01005651  0.07774552  0.1165715 ]",37
"[6.76087556e-07 1.59408648e-03 1.29090750e-03 1.69075381e-04
 1.08469716e-04 2.47022480e-03 1.69819498e-05 3.61526162e-04
 1.16187326e-02 1.94293274e-05 8.70208425e-05 3.13988859e-03
 1.05646815e-03 2.13384443e-03 8.19423540e-03 3.70300837e-04
 1.60267105e-04 1.78125961e-03 1.08097331e-03 8.25756080e-04
 6.44635636e-04 5.18352083e-04 3.67534104e-03 3.74339776e-05
 1.53188389e-03 3.79330921e-03 5.00307735e-03 8.04773705e-05
 2.38184529e-03 5.61708096e-03]","[-0.00140926  0.05863251 -0.05071192  0.021528    0.01181527  0.07662517
 -0.00432259  0.0291895   0.16264647 -0.00859999 -0.01714837  0.09104529
 -0.04908485  0.06752632  0.13841368  0.02622924  0.02422462  0.06729617
  0.05375949 -0.04193139 -0.03610097  0.03977378 -0.09523767  0.01025832
 -0.06254482 -0.09269541  0.10521461 -0.00963734  0.07717371  0.11544847]",38
"[6.88773240e-07 1.60330740e-03 1.29530986e-03 1.71696135e-04
 1.07893727e-04 2.49277745e-03 1.68815571e-05 3.64657226e-04
 1.17075534e-02 2.01055806e-05 8.93526643e-05 3.18124817e-03
 1.06449569e-03 2.14542874e-03 8.26425995e-03 3.70772394e-04
 1.65671971e-04 1.80223954e-03 1.09590481e-03 8.30181551e-04
 6.47015298e-04 5.29169136e-04 3.71363201e-03 3.80724379e-05
 1.55030616e-03 3.82140638e-03 5.03660781e-03 7.99710627e-05
 2.40884538e-03 5.66904957e-03]","[-0.00140779  0.05778542 -0.04980143  0.02145162  0.01134698  0.07583688
 -0.00415382  0.02886792  0.16069993 -0.00867303 -0.01722295  0.09047062
 -0.04848824  0.06651152  0.1368998   0.02564949  0.02444934  0.06679491
  0.05345712 -0.04129957 -0.03546173  0.03979647 -0.09437672  0.01023887
 -0.06209905 -0.09155177  0.10383433 -0.00921993  0.07658505  0.11430263]",39
"[7.01202059e-07 1.61151197e-03 1.29887165e-03 1.74242021e-04
 1.07258889e-04 2.51381838e-03 1.67753315e-05 3.67556431e-04
 1.17891762e-02 2.07785437e-05 9.16580507e-05 3.22073557e-03
 1.07185678e-03 2.15562078e-03 8.32921662e-03 3.70990586e-04
 1.71087909e-04 1.82217885e-03 1.11022393e-03 8.34074169e-04
 6.48964632e-04 5.39786511e-04 3.74963703e-03 3.86980362e-05
 1.56785785e-03 3.84711821e-03 5.06703426e-03 7.94284725e-05
 2.43453529e-03 5.71773959e-03]","[-0.00140599  0.05693005 -0.04888514  0.02137112  0.01087869  0.07503321
 -0.00398862  0.0285396   0.15872598 -0.00874061 -0.01728921  0.08986748
 -0.04788277  0.06548588  0.13535886  0.02506594  0.02466385  0.06627673
  0.05313915 -0.04066167 -0.0348172   0.03980544 -0.09349132  0.01021814
 -0.06163847 -0.09039196  0.10243937 -0.00880501  0.07598193  0.11313787]",40
"[7.13381988e-07 1.61873999e-03 1.30163087e-03 1.76714764e-04
 1.06571077e-04 2.53339204e-03 1.66639673e-05 3.70230417e-04
 1.18638415e-02 2.14476649e-05 9.39352891e-05 3.25837795e-03
 1.07857388e-03 2.16447445e-03 8.38925747e-03 3.70968757e-04
 1.76511032e-04 1.84109855e-03 1.12394040e-03 8.37455028e-04
 6.50502606e-04 5.50201503e-04 3.78341045e-03 3.93112340e-05
 1.58455765e-03 3.87052558e-03 5.09447176e-03 7.88539009e-05
 2.45894871e-03 5.76325187e-03]","[-0.00140393  0.05606852 -0.04796499  0.0212871   0.01041112  0.07421658
 -0.00382722  0.02820547  0.15672987 -0.00880298 -0.01734741  0.08923835
 -0.04727009  0.06445181  0.13379515  0.02447978  0.02486842  0.06574344
  0.05280707 -0.04001918 -0.03416878  0.03980144 -0.09258433  0.01019641
 -0.06116482 -0.08921905  0.10103329 -0.00839324  0.07536648  0.11195767]",41
"[7.25321647e-07 1.62503020e-03 1.30362437e-03 1.79116081e-04
 1.05835907e-04 2.55154214e-03 1.65480999e-05 3.72685736e-04
 1.19317837e-02 2.21124359e-05 9.61827425e-05 3.29420304e-03
 1.08466893e-03 2.17204227e-03 8.44453158e-03 3.70719853e-04
 1.81937504e-04 1.85901948e-03 1.13706409e-03 8.40344646e-04
 6.51647661e-04 5.60411569e-04 3.81500630e-03 3.99124885e-05
 1.60042414e-03 3.89170756e-03 5.11903231e-03 7.82513929e-05
 2.48211870e-03 5.80568497e-03]","[-0.00140164  0.05520272 -0.04704274  0.02120007  0.00994494  0.07338916
 -0.00366983  0.02786638  0.15471634 -0.00886037 -0.01739783  0.08858548
 -0.04665171  0.06341149  0.13221253  0.02389212  0.02506329  0.06519669
  0.05246226 -0.03937348 -0.03351778  0.03978514 -0.09165836  0.01017395
 -0.06067969 -0.08803583  0.09961934 -0.00798523  0.07474066  0.11076519]",42
"[7.37030273e-07 1.63042028e-03 1.30488781e-03 1.81447678e-04
 1.05058739e-04 2.56831159e-03 1.64283106e-05 3.74928841e-04
 1.19932322e-02 2.27723915e-05 9.83988508e-05 3.32823909e-03
 1.09016340e-03 2.17837544e-03 8.49518505e-03 3.70256420e-04
 1.87363545e-04 1.87596233e-03 1.14960505e-03 8.42762976e-04
 6.52417713e-04 5.70414331e-04 3.84447826e-03 4.05022515e-05
 1.61547576e-03 3.91074142e-03 5.14082492e-03 7.76247453e-05
 2.50407771e-03 5.84513517e-03]","[-0.00139918  0.05433437 -0.04611996  0.02111052  0.00948072  0.07255293
 -0.0035166   0.02752309  0.15268964 -0.00891299 -0.01744073  0.08791095
 -0.04602896  0.0623669   0.13061448  0.02330395  0.02524869  0.06463798
  0.05210599 -0.03872578 -0.03286536  0.03975718 -0.09071579  0.01015098
 -0.0601845  -0.0868448   0.09820041 -0.00758151  0.0741062   0.10956323]",43
"[7.48517693e-07 1.63494684e-03 1.30545571e-03 1.83711246e-04
 1.04244685e-04 2.58374257e-03 1.63051296e-05 3.76966087e-04
 1.20484105e-02 2.34271083e-05 1.00582132e-04 3.36051489e-03
 1.09507830e-03 2.18352376e-03 8.54136100e-03 3.69590609e-04
 1.92785433e-04 1.89194758e-03 1.16157343e-03 8.44729407e-04
 6.52830156e-04 5.80207573e-04 3.87187961e-03 4.10809683e-05
 1.62973081e-03 3.92770259e-03 5.15995561e-03 7.69775150e-05
 2.52485754e-03 5.88169649e-03]","[-0.00139658  0.05346501 -0.04519806  0.02101889  0.00901899  0.07170966
 -0.00336768  0.02717631  0.15065361 -0.00896107 -0.01747634  0.08721665
 -0.04540306  0.06131983  0.12900413  0.02271619  0.02542485  0.06406866
  0.0517394  -0.03807718 -0.03221257  0.03971813 -0.08975877  0.01012772
 -0.05968056 -0.08564822  0.09677912 -0.00718255  0.07346467  0.10835435]",44
"[7.59794294e-07 1.63864547e-03 1.30536147e-03 1.85908461e-04
 1.03398611e-04 2.59787646e-03 1.61790399e-05 3.78803731e-04
 1.20975370e-02 2.40762037e-05 1.02731185e-04 3.39105964e-03
 1.09943410e-03 2.18753575e-03 8.58319958e-03 3.68734170e-04
 1.98199512e-04 1.90699556e-03 1.17297950e-03 8.46262771e-04
 6.52901865e-04 5.89789245e-04 3.89726321e-03 4.16490774e-05
 1.64320748e-03 3.94266472e-03 5.17652743e-03 7.63130269e-05
 2.54448941e-03 5.91546070e-03]","[-0.0013939   0.05259602 -0.04427829  0.02092556  0.00856023  0.07086098
 -0.00322316  0.02682665  0.14861171 -0.00900484 -0.0175049   0.08650435
 -0.04477512  0.06027186  0.12738433  0.02212964  0.02559196  0.06348996
  0.05136356 -0.03742868 -0.03156036  0.03966853 -0.08878929  0.01010435
 -0.05916905 -0.08444812  0.0953578  -0.00678877  0.07281749  0.10714083]",45
"[7.70870994e-07 1.64155070e-03 1.30463737e-03 1.88040981e-04
 1.02525146e-04 2.61075383e-03 1.60504804e-05 3.80447926e-04
 1.21408243e-02 2.47193351e-05 1.04844684e-04 3.41990298e-03
 1.10325080e-03 2.19045856e-03 8.62083800e-03 3.67698461e-04
 2.03602191e-04 1.92112639e-03 1.18383362e-03 8.47381347e-04
 6.52649198e-04 5.99157460e-04 3.92068145e-03 4.22070093e-05
 1.65592376e-03 3.95569966e-03 5.19064055e-03 7.56343819e-05
 2.56300388e-03 5.94651735e-03]","[-0.00139116  0.05172865 -0.04336181  0.0208309   0.00810486  0.07000836
 -0.00308314  0.0264747   0.14656704 -0.00904451 -0.01752664  0.08577565
 -0.04414612  0.05922445  0.12575762  0.02154506  0.02575024  0.06290297
  0.05097946 -0.03678117 -0.03090959  0.03960887 -0.08780915  0.01008105
 -0.05865107 -0.08324634  0.09393857 -0.00640056  0.07216593  0.10592471]",46
"[7.81759214e-07 1.64369605e-03 1.30331462e-03 1.90110445e-04
 1.01628690e-04 2.62241449e-03 1.59198494e-05 3.81904722e-04
 1.21784801e-02 2.53561981e-05 1.06921388e-04 3.44707492e-03
 1.10654793e-03 2.19233805e-03 8.65441054e-03 3.66494448e-04
 2.08989955e-04 1.93436000e-03 1.19414623e-03 8.48102872e-04
 6.52088006e-04 6.08310496e-04 3.94218622e-03 4.27551860e-05
 1.66789751e-03 3.96687745e-03 5.20239221e-03 7.49444657e-05
 2.58043090e-03 5.97495377e-03]","[-0.00138842  0.05086401 -0.0424496   0.02073524  0.00765325  0.0691531
 -0.00294767  0.02612098  0.1445224  -0.00908031 -0.01754179  0.08503205
 -0.04351696  0.0581789   0.12412631  0.02096312  0.02589988  0.06230872
  0.05058799 -0.03613543 -0.03026103  0.03953959 -0.08682     0.01005795
 -0.05812759 -0.08204455  0.09252332 -0.00601824  0.07151112  0.10470782]",47
"[7.92470849e-07 1.64511402e-03 1.30142333e-03 1.92118468e-04
 1.00713413e-04 2.63289743e-03 1.57875075e-05 3.83180063e-04
 1.22107065e-02 2.59865252e-05 1.08960132e-04 3.47260581e-03
 1.10934450e-03 2.19321876e-03 8.68404855e-03 3.65132707e-04
 2.14359362e-04 1.94671614e-03 1.20392783e-03 8.48444545e-04
 6.51233636e-04 6.17246794e-04 3.96182889e-03 4.32940202e-05
 1.67914641e-03 3.97626639e-03 5.21187684e-03 7.42459564e-05
 2.59679982e-03 6.00085512e-03]","[-0.0013857   0.05000312 -0.04154258  0.02063887  0.00720575  0.06829643
 -0.00281678  0.02576595  0.14248028 -0.00911243 -0.01755055  0.08427492
 -0.04288844  0.05713637  0.12249246  0.02038444  0.02604106  0.0617081
  0.05018999 -0.03549219 -0.02961537  0.03946112 -0.08582334  0.01003521
 -0.05759951 -0.08084421  0.09111372 -0.0056421   0.0708541   0.10349182]",48
"[8.03018241e-07 1.64583612e-03 1.29899259e-03 1.94066645e-04
 9.97832691e-05 2.64224086e-03 1.56537807e-05 3.84279788e-04
 1.22377006e-02 2.66100848e-05 1.10959834e-04 3.49652628e-03
 1.11165905e-03 2.19314398e-03 8.70988049e-03 3.63623430e-04
 2.19707048e-04 1.95821431e-03 1.21318894e-03 8.48423034e-04
 6.50100936e-04 6.25964960e-04 3.97966027e-03 4.38239149e-05
 1.68968794e-03 3.98393297e-03 5.21918604e-03 7.35413333e-05
 2.61213935e-03 6.02430440e-03]","[-0.00138304  0.04914687 -0.04064155  0.02054205  0.00676265  0.06743943
 -0.0026905   0.02541006  0.14044295 -0.00914109 -0.01755314  0.08350553
 -0.04226129  0.05609792  0.12085794  0.01980957  0.02617398  0.06110194
  0.04978623 -0.03485208 -0.02897324  0.03937384 -0.08482057  0.01001293
 -0.05706766 -0.07964668  0.0897113  -0.00527241  0.07019578  0.10227816]",49
"[8.13414151e-07 1.64589285e-03 1.29605048e-03 1.95956546e-04
 9.88419968e-05 2.65048217e-03 1.55189627e-05 3.85209627e-04
 1.22596542e-02 2.72266791e-05 1.12919487e-04 3.51886724e-03
 1.11350963e-03 2.19215570e-03 8.73203197e-03 3.61976432e-04
 2.25029728e-04 1.96887386e-03 1.22194013e-03 8.48054492e-04
 6.48704264e-04 6.34463760e-04 3.99573061e-03 4.43452625e-05
 1.69953942e-03 3.98994196e-03 5.22440868e-03 7.28328846e-05
 2.62647762e-03 6.04538250e-03]","[-0.00138048  0.04829606 -0.03974723  0.02044503  0.00632421  0.06658307
 -0.00256883  0.02505369  0.13841242 -0.0091665  -0.01754975  0.08272506
 -0.04163616  0.0550645   0.11922443  0.01923902  0.0262988   0.06049099
  0.04937741 -0.03421568 -0.02833519  0.03927813 -0.08381293  0.00999122
 -0.05653278 -0.07845315  0.08831741 -0.00490938  0.069537    0.10106817]",50
"[8.23671732e-07 1.64531377e-03 1.29262405e-03 1.97789715e-04
 9.78931291e-05 2.65765796e-03 1.53833183e-05 3.85975204e-04
 1.22767541e-02 2.78361432e-05 1.14838165e-04 3.53965979e-03
 1.11491381e-03 2.19029468e-03 8.75062575e-03 3.60201149e-04
 2.30324203e-04 1.97871388e-03 1.23019198e-03 8.47354555e-04
 6.47057496e-04 6.42742121e-04 4.01008953e-03 4.48584446e-05
 1.70871797e-03 3.99435640e-03 5.22763091e-03 7.21227162e-05
 2.63984213e-03 6.06416819e-03]","[-0.00137805  0.04745141 -0.03886024  0.02034802  0.00589066  0.06572827
 -0.00245175  0.0246972   0.13639051 -0.00918886 -0.01754059  0.08193462
 -0.04101362  0.05403695  0.11759345  0.01867323  0.02641569  0.05987593
  0.04896418 -0.03358349 -0.02770173  0.03917432 -0.08280159  0.00997017
 -0.05599555 -0.0772647   0.08693324 -0.0045532   0.06887848  0.09986301]",51
"[8.33804505e-07 1.64412747e-03 1.28873940e-03 1.99567671e-04
 9.69399982e-05 2.66380401e-03 1.52470848e-05 3.86582033e-04
 1.22891820e-02 2.84383427e-05 1.16715019e-04 3.55893522e-03
 1.11588870e-03 2.18760046e-03 8.76578176e-03 3.58306653e-04
 2.35587355e-04 1.98775329e-03 1.23795505e-03 8.46338361e-04
 6.45174032e-04 6.50799130e-04 4.02278602e-03 4.53638313e-05
 1.71724049e-03 3.99723761e-03 5.22893619e-03 7.14127593e-05
 2.65225980e-03 6.08073818e-03]","[-0.00137578  0.04661355 -0.03798113  0.02025122  0.00546222  0.06487581
 -0.00233924  0.02434091  0.13437882 -0.00920835 -0.01752585  0.08113521
 -0.04039422  0.05301603  0.11596634  0.01811263  0.02652483  0.05925737
  0.04854716 -0.03295595 -0.02707331  0.03906273 -0.08178761  0.00994987
 -0.05545659 -0.0760823   0.08555986 -0.00420404  0.06822089  0.09866373]",52
"[8.43826335e-07 1.64236161e-03 1.28442166e-03 2.01291905e-04
 9.59857423e-05 2.66895534e-03 1.51104752e-05 3.87035519e-04
 1.22971149e-02 2.90331731e-05 1.18549275e-04 3.57672498e-03
 1.11645091e-03 2.18411135e-03 8.77761717e-03 3.56301651e-04
 2.40816155e-04 1.99601075e-03 1.24523992e-03 8.45020555e-04
 6.43066805e-04 6.58634032e-04 4.03386846e-03 4.58617807e-05
 1.72512371e-03 3.99864521e-03 5.22840540e-03 7.07047787e-05
 2.66375695e-03 6.09516716e-03]","[-0.0013737   0.04578304 -0.03711042  0.02015481  0.00503906  0.06402643
 -0.00223125  0.02398511  0.13237879 -0.00922518 -0.01750572  0.08032779
 -0.03977841  0.05200242  0.11434434  0.01755758  0.02662638  0.05863588
  0.0481269  -0.03233348 -0.02645033  0.03894366 -0.08077197  0.00993038
 -0.05491649 -0.07490679  0.08419822 -0.00386204  0.06756481  0.09747124]",53
"[8.53751406e-07 1.64004293e-03 1.27969504e-03 2.02963881e-04
 9.50333120e-05 2.67314612e-03 1.49736799e-05 3.87340957e-04
 1.23007246e-02 2.96205574e-05 1.20340234e-04 3.59306061e-03
 1.11661662e-03 2.17986448e-03 8.78624641e-03 3.54194494e-04
 2.46007660e-04 2.00350473e-03 1.25205711e-03 8.43415296e-04
 6.40748291e-04 6.66246227e-04 4.04338450e-03 4.63526388e-05
 1.73238410e-03 3.99863719e-03 5.22611685e-03 7.00003804e-05
 2.67435931e-03 6.10752780e-03]","[-0.00137184  0.04496039 -0.03624852  0.02005893  0.00462134  0.0631808
 -0.00212775  0.02363008  0.13039173 -0.00923953 -0.01748039  0.07951324
 -0.0391666   0.05099673  0.11272853  0.01700841  0.02672049  0.05801195
  0.04770393 -0.03171642 -0.02583314  0.03881739 -0.07975556  0.00991175
 -0.05437577 -0.07373896  0.08284915 -0.00352731  0.06691078  0.09628638]",54
"[8.63594200e-07 1.63719727e-03 1.27458284e-03 2.04585034e-04
 9.40854765e-05 2.67640979e-03 1.48368687e-05 3.87503535e-04
 1.23001784e-02 3.02004448e-05 1.22087271e-04 3.60797372e-03
 1.11640152e-03 2.17489582e-03 8.79178118e-03 3.51993184e-04
 2.51159015e-04 2.01025349e-03 1.25841714e-03 8.41536277e-04
 6.38230518e-04 6.73635267e-04 4.05138116e-03 4.68367386e-05
 1.73903795e-03 3.99726986e-03 5.22214632e-03 6.93010201e-05
 2.68409204e-03 6.11789083e-03]","[-0.00137023  0.04414603 -0.0353958   0.01996375  0.00420918  0.0623395
 -0.00202867  0.02327605  0.12841877 -0.00925157 -0.01745004  0.0786924
 -0.03855918  0.04999949  0.1111199   0.01646543  0.02680732  0.05738606
  0.04727871 -0.03110507 -0.02522206  0.03868418 -0.07873921  0.00989404
 -0.05383489 -0.07257949  0.08151338 -0.00319994  0.06625927  0.09510986]",55
